id,FalseSent,OptionA,OptionB,OptionC
1189,peter is walking on the river of the bank,there is a river alongside the bank,peter found himself good at walking,a bank doesn't have a river and a person can't walk on a river
1268,the student flaunted his test grade to his pets,the student didn't have many friends in the class,it's the first time that the student got the best grade,someone¡®s pets don't understand his show-off
1343,he married a woman that he hated,people usually do not married with another one they don't like,the woman is not pretty,the woman is not rich
1547,Tom hunted a bear in the library,the bear can kill a man easily,the library isn't the habitat of bears,bears are very rare now so we shouldn’t hunt them
1552,I felt energetic after having expired food,expired food doesn’t taste good,expired food is some poor people's food,expired food is bad for health
1585,I bought some apple from the butcher to restock my freezer,butchers only sell meat products,we need diet balance to keep healthy,butchers like eating apples too
1760,boys usually can’t wear dress in China,the skirt is designed for women,skirts can be worn on boys,boys all over the world don't wear dress
1767,the malignant tumor doesn’t have fatal harm for you,the malignant tumor kills the patients easily,if the tumor is fatal or not is decided by doctors,medical technology have developed greatly
1846,I stop eating salt food to lose weight,too much salt intake can cause health problems,salt food has little to do with gaining weight,the key of losing weight is persistence
1852,passengers need to undergo a rigorous safety check before taking a taxi,people take a taxi very frequently,safety check before taking a taxi is not rigorous,safety check before taking a taxi is meaningless
1963,the book became a unsalable and it was adapted into a movie,the movie didn't become a blockbuster,after recommended by a famous author the unsalable became popular,a book adapted in to a movie is usually popular
